epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,292.342,0.51241,0.50365,0.97375,0.84254,0.47988,0.53434,0.26542,1.77827,2.0563,1.47715,1.98016e-05,1.98016e-05,1.98016e-05
82,295.842,0.80738,0.67131,1.14318,0.84254,0.47988,0.53434,0.26542,1.77827,2.0563,1.47715,1.90949e-05,1.90949e-05,1.90949e-05
83,299.687,0.76608,0.82176,1.19638,0.84254,0.47988,0.53434,0.26542,1.77827,2.0563,1.47715,1.83646e-05,1.83646e-05,1.83646e-05
84,303.254,0.78346,0.56593,1.20383,0.84079,0.48403,0.53731,0.26772,1.82718,2.085,1.50368,1.76107e-05,1.76107e-05,1.76107e-05
85,306.353,0.5659,0.7275,1.10834,0.84079,0.48403,0.53731,0.26772,1.82718,2.085,1.50368,1.68333e-05,1.68333e-05,1.68333e-05
86,309.631,0.73614,0.66178,1.1012,0.84079,0.48403,0.53731,0.26772,1.82718,2.085,1.50368,1.60323e-05,1.60323e-05,1.60323e-05
87,313.266,0.75006,0.79201,1.04986,0.84079,0.48403,0.53731,0.26772,1.82718,2.085,1.50368,1.52077e-05,1.52077e-05,1.52077e-05
88,316.537,0.7898,0.85801,1.37926,0.83893,0.48377,0.53423,0.26766,1.83546,2.07714,1.5053,1.43596e-05,1.43596e-05,1.43596e-05
89,320.075,0.99024,0.92408,1.47931,0.83893,0.48377,0.53423,0.26766,1.83546,2.07714,1.5053,1.34879e-05,1.34879e-05,1.34879e-05
90,323.506,0.64899,0.6422,1.01085,0.83893,0.48377,0.53423,0.26766,1.83546,2.07714,1.5053,1.25927e-05,1.25927e-05,1.25927e-05
91,326.704,0.45878,0.51919,0.89108,0.83893,0.48377,0.53423,0.26766,1.83546,2.07714,1.5053,1.16739e-05,1.16739e-05,1.16739e-05
92,330.137,0.71183,0.69871,0.99326,0.83648,0.48439,0.53533,0.27843,1.83984,2.034,1.49066,1.07315e-05,1.07315e-05,1.07315e-05
93,333.976,0.47786,0.45795,0.98578,0.83648,0.48439,0.53533,0.27843,1.83984,2.034,1.49066,9.76562e-06,9.76562e-06,9.76562e-06
94,338.096,0.54787,0.43383,0.88545,0.83648,0.48439,0.53533,0.27843,1.83984,2.034,1.49066,8.77613e-06,8.77613e-06,8.77613e-06
95,341.779,0.43488,0.45082,0.89783,0.83648,0.48439,0.53533,0.27843,1.83984,2.034,1.49066,7.76308e-06,7.76308e-06,7.76308e-06
96,345.364,0.43979,0.50628,0.96146,0.84168,0.46622,0.55784,0.30539,1.75748,1.95948,1.44335,6.72648e-06,6.72648e-06,6.72648e-06
97,348.795,0.68962,0.60711,1.04842,0.84168,0.46622,0.55784,0.30539,1.75748,1.95948,1.44335,5.6663e-06,5.6663e-06,5.6663e-06
98,352.228,0.51794,0.48557,0.9099,0.84168,0.46622,0.55784,0.30539,1.75748,1.95948,1.44335,4.58257e-06,4.58257e-06,4.58257e-06
99,355.504,0.47575,0.46046,0.90948,0.84168,0.46622,0.55784,0.30539,1.75748,1.95948,1.44335,3.47528e-06,3.47528e-06,3.47528e-06
100,359.524,0.55765,0.49124,1.00229,0.5596,0.506,0.60766,0.3397,1.71193,1.87924,1.41482,2.34442e-06,2.34442e-06,2.34442e-06
